epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3790.88,0.77687,0.67014,0.87593,0.9743,0.96392,0.97834,0.77667,0.7045,0.59282,0.83715,0.000404375,0.000404375,0.000404375
43,3868.68,0.73278,0.65382,0.87691,0.97419,0.96359,0.97611,0.77111,0.73033,0.57577,0.84687,0.00038375,0.00038375,0.00038375
44,3949.12,0.76219,0.63779,0.88314,0.99096,0.95871,0.97904,0.77664,0.71384,0.55511,0.84873,0.000363125,0.000363125,0.000363125
45,4028.93,0.77481,0.64256,0.88031,0.97318,0.97241,0.97953,0.77765,0.73453,0.57111,0.85174,0.0003425,0.0003425,0.0003425
46,4108.4,0.76762,0.64052,0.8727,0.96894,0.97006,0.97615,0.78528,0.7168,0.56799,0.84805,0.000321875,0.000321875,0.000321875
47,4189.3,0.76056,0.65211,0.88231,0.97714,0.96392,0.97958,0.79427,0.70477,0.55017,0.84589,0.00030125,0.00030125,0.00030125
48,4272.08,0.73344,0.6241,0.87298,0.97825,0.95619,0.97419,0.78654,0.72893,0.56116,0.84813,0.000280625,0.000280625,0.000280625
49,4358,0.74028,0.63955,0.88446,0.96867,0.96383,0.98069,0.77361,0.7452,0.56186,0.84837,0.00026,0.00026,0.00026
50,4438.22,0.71524,0.61364,0.87406,0.97516,0.96907,0.98146,0.7886,0.70777,0.55098,0.84418,0.000239375,0.000239375,0.000239375
51,4517.1,0.722,0.65366,0.86401,0.97969,0.97165,0.98505,0.79393,0.69333,0.54815,0.84104,0.00021875,0.00021875,0.00021875
52,4600.87,0.67,0.61769,0.83723,0.97401,0.96618,0.97912,0.7876,0.70327,0.57022,0.84584,0.000198125,0.000198125,0.000198125
53,4680.65,0.6949,0.63138,0.84405,0.97709,0.96907,0.98302,0.78236,0.71179,0.56981,0.84906,0.0001775,0.0001775,0.0001775
54,4758.64,0.67445,0.61995,0.84889,0.9751,0.96993,0.98461,0.7855,0.70226,0.56002,0.84583,0.000156875,0.000156875,0.000156875
55,4839,0.69158,0.6126,0.8434,0.95438,0.96986,0.98499,0.78193,0.69764,0.56309,0.84209,0.00013625,0.00013625,0.00013625
56,4927.27,0.66477,0.58291,0.84266,0.96485,0.96577,0.98612,0.79431,0.69812,0.54478,0.84088,0.000115625,0.000115625,0.000115625
57,5012.26,0.65175,0.59503,0.84446,0.97935,0.96449,0.98635,0.79913,0.69701,0.53219,0.84114,9.5e-05,9.5e-05,9.5e-05
58,5098.1,0.66581,0.57573,0.85435,0.97773,0.96907,0.9871,0.8002,0.69787,0.52591,0.84177,7.4375e-05,7.4375e-05,7.4375e-05
59,5179.08,0.66174,0.57422,0.83061,0.98096,0.96907,0.98725,0.7987,0.69908,0.52466,0.84108,5.375e-05,5.375e-05,5.375e-05
60,5260.76,0.64873,0.57283,0.84639,0.98011,0.96966,0.98883,0.79814,0.70084,0.5241,0.84139,3.3125e-05,3.3125e-05,3.3125e-05
